#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 2.60434 1 0.798841 1 1 0.627207 8 0 163.236
1 2.71517 1.13333 4.97028 2 1 0.0680724 6 0 95.908
2 1.94083 1.90909 3.80369 3 2 0.146848 16 0 97.1392
3 1.03792 1.7 15.8325 4 3 0.0344687 20 0 98.5298
4 0.194042 3.36364 20.2963 4 5 0.302906 19 0 99.0288
5 0.371653 2.57895 20.3164 2 8 0.110375 34 0 100.185
6 1.55273 1 16.0355 1 12 0.371305 40 0 102.101
7 1.10976 1.77778 5.11587 2 18 0.281002 124 0 107.166
8 0.595373 2 2.20606 2 27 0.170232 300 0 113.931
9 0.585429 2 1.12943 2 41 0.13767 448 4 125.231
10 0.525652 1.8 0.61516 2 53 0.419569 156 120 132.084
11 1.61391 1.1 0.273054 1 34 0.848749 14 1 115.2
12 1.03842 1.5 0.423041 2 26 0.626019 87 37 111.874
13 0.759881 1.90909 0.717583 2 15 0.395074 75 27 105.438
14 0.48601 2 1.17297 2 12 0.1337 89 1 103.67
15 2.9738 1.52941 0.799856 1 16 0.167119 109 15 105.07
16 2.44565 1.375 0.107258 2 18 0.946603 5 0 105.227
17 1.81324 2 0.344915 3 14 0.843233 34 6 104.137
18 0.629454 3.27273 9.16529 5 11 0.158481 34 2 105.419
19 0.434357 3.63636 5.75536 3 17 0.103194 93 0 107.507
20 0.829167 2.63636 2.21507 2 26 0.0512606 264 0 114.046
21 0.672089 2 1.56239 2 39 0.140283 256 0 124.386
22 0.440673 2 0.802165 2 57 0.253742 243 132 137.417
23 1.98397 1.09091 0.342458 1 50 0.732704 20 1 126.629
24 1.84513 1.63636 0.209592 2 38 0.905182 42 12 117.812
25 1.20852 2.36364 0.707942 3 29 0.477266 118 75 115.752
26 0.230972 3.63636 0.789937 4 27 0.193884 146 82 114.733
27 0.654678 3.27273 0.679603 2 23 0.371831 94 86 110.657
28 0.703377 2 1.17879 2 17 0.307685 101 36 106.757
29 0.728716 2 0.914412 2 22 0.366843 98 41 109.872
30 0.759739 2 0.76652 2 23 0.234625 79 51 110.463
31 0.780767 2 0.738392 2 19 0.334553 68 33 108.117
32 0.867194 2 0.899652 2 15 0.150199 89 21 105.52
33 0.925103 2 1.31441 2 15 0.0906257 94 18 105.423
34 0.852548 2 1.24134 2 23 0.18261 118 38 111.073
35 0.953012 2 0.749397 2 33 0.434371 83 71 117.242
36 0.942923 2 0.705713 2 28 0.344744 66 46 114.443
37 0.733693 2 0.780868 2 22 0.265009 67 29 110.391
38 0.353785 2 1.15798 2 18 0.257278 118 28 107.023
39 0.99182 1.09091 0.473352 1 24 0.560264 73 44 109.266
40 1.38428 1 0.363128 1 13 0.709981 38 7 102.74
41 0.903657 1.54545 0.862962 2 10 0.512861 53 2 101.452
42 0.478353 2 2.29851 2 10 0.0201784 94 0 101.845
43 1.95052 1.16667 0.810013 1 15 0.177415 133 13 104.639
44 1.59312 1.81818 0.400319 2 17 0.708587 38 9 104.998
45 0.679628 2.91667 2.50876 3 13 0.135023 102 0 105.112
46 0.66589 2.36364 1.28313 2 20 0.0381908 237 0 109.161
47 0.604702 2 0.663148 2 29 0.339398 108 61 114.405
48 0.70159 2 0.575137 2 20 0.471278 60 40 108.595
49 0.76386 2 1.82341 2 13 0.136363 104 13 104.447
50 0.740579 2 1.25241 2 20 0.305417 121 15 108.673
51 0.787356 2 0.833167 2 28 0.27768 126 52 114.345
52 0.689372 2 0.651827 2 25 0.381261 62 40 111.907
53 0.634563 2 0.955601 2 18 0.231404 97 19 107.813
54 0.679319 2 0.700253 2 20 0.283313 76 35 108.728
55 0.664002 2 1.56784 2 15 0.258116 95 18 106.105
56 0.818471 2 1.04846 2 23 0.339766 126 37 110.433
57 0.534962 2 0.694551 2 27 0.365937 85 62 113.448
58 0.741368 2 0.748792 2 20 0.259224 74 43 108.701
59 1.03543 2 0.952605 2 16 0.428159 61 18 105.999
60 0.94257 2 1.45585 2 18 0.244084 63 14 108.249
61 0.8359 2 1.02033 2 27 0.136163 120 31 114.421
62 0.81038 2 1.1887 2 31 0.179444 125 47 116.492
63 0.832208 2 0.61003 2 42 0.467348 73 87 123.421
64 0.89189 2 0.746214 2 27 0.464665 64 43 113.95
65 0.87795 2 0.823194 2 22 0.277574 82 37 111.096
66 0.856074 2 0.864345 2 20 0.167648 70 30 109.482
67 0.346256 2 1.33748 2 19 0.117176 121 24 108.543
68 1.53787 1.11111 0.507065 1 29 0.596907 47 32 112.609
69 0.88591 1.63636 0.503261 2 22 0.575963 82 34 109.224
70 0.543367 2 0.856723 2 11 0.161528 96 9 103.132
71 2.58784 1.75 0.891549 1 10 0.48995 65 3 100.856
72 2.20884 1.3125 0.705632 2 12 0.206909 57 0 102.846
73 1.41452 2.11765 0.692333 3 12 0.774767 39 4 103.173
74 0.225991 4.63636 8.28172 5 12 0.0118691 57 0 105.069
75 0.458167 3.54545 4.24842 3 18 0.0653866 143 0 108.31
76 0.965239 2.36364 1.67671 2 27 0.0600582 348 0 114.119
77 1.00273 2 1.19902 2 41 0.238654 241 18 125.077
78 0.967247 2 0.664348 2 55 0.356667 112 103 135.057
79 0.845169 2 0.982231 2 43 0.424408 80 73 126.672
80 0.899429 2 0.513958 2 47 0.571726 67 81 127.099
81 0.984851 2 0.878484 2 24 0.528715 65 20 113.05
82 0.983888 2 0.998611 2 24 0.186824 73 49 111.824
83 0.957555 2 0.780294 2 27 0.313276 76 50 113.941
84 0.843811 2 0.878208 2 24 0.111898 75 38 111.967
85 0.864067 2 1.21972 2 23 0.288936 86 37 111.284
86 0.782366 2 0.846624 2 32 0.415363 90 69 116.535
87 0.88416 2 0.703557 2 29 0.421029 79 60 115.067
88 0.987578 2 1.07727 2 22 0.281734 62 30 110.69
