#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
96 0.556748 5.46154 0.933504 6 53 0.212707 143 105 142.116
97 0.594389 3.83333 1.53534 4 55 0.243562 276 49 142.462
98 3.51329 1.61538 1.09595 1 58 0.102111 284 150 143.161
99 5.89312 1 0.555105 1 58 0.406907 44 26 138.268
100 9.25344 1 0.513703 1 47 0.827496 10 0 127.557
101 5.05374 1.25 0.248385 2 36 0.916062 20 0 116.956
102 6.94088 1.69231 0.21018 3 27 0.858849 15 0 112.957
103 3.64368 2.41667 0.484598 5 20 0.808643 50 2 111.747
104 1.42913 3.38462 2.57886 8 15 0.142984 68 0 113.051
105 1.06937 4.83333 3.88755 10 23 0.118925 124 2 119.677
106 0.479391 6.92308 5.9032 11 35 0.136822 152 0 130.449
107 1.53804 3.91667 2.76004 6 53 0.153426 340 0 142.87
108 1.50217 2.84615 3.26787 5 54 0.0912077 224 0 143.325
109 2.16476 3.08333 2.58948 4 55 0.0779008 250 0 143.408
110 3.32627 2.23077 1.98158 3 56 0.0976813 234 1 143.618
111 2.48552 2 1.71469 3 56 0.211345 168 34 143.647
112 1.80927 2.46154 1.0984 3 56 0.11088 183 74 143.684
113 2.21403 3 0.888645 3 56 0.247931 70 51 141.439
114 1.83724 3 0.690974 3 56 0.47679 65 26 138.696
115 2.70033 3 0.741883 3 54 0.586152 32 6 134.87
116 2.24972 2.61538 0.580193 5 54 0.662885 71 20 135.289
117 2.60281 2 0.672953 5 46 0.549269 56 17 132.158
118 1.70309 3.23077 1.02906 8 44 0.348656 116 48 134.587
119 1.14738 3.91667 1.46584 9 50 0.225704 218 33 142.92
120 0.635454 4.38462 2.64767 7 52 0.0839245 232 5 143.03
121 7.67683 1.66667 1.82704 4 55 0.131585 265 0 143.077
122 3.38559 2.15385 0.935094 3 56 0.0917275 161 123 142.673
123 1.72403 2.66667 0.688951 3 56 0.467021 98 26 139.984
124 1.64358 2.92308 0.85132 3 54 0.336076 90 29 139.453
125 2.63279 1.58333 0.763166 4 55 0.388788 99 28 137.94
126 5.73138 2.23077 0.651361 4 54 0.529885 77 35 138.865
127 4.99125 1.75 0.738366 5 51 0.352846 68 35 137.72
128 1.25642 3 0.692422 8 51 0.463552 141 73 139.326
129 2.02439 3 1.09094 8 48 0.194022 153 49 139.905
130 1.00266 3 1.0098 8 51 0.224591 142 83 142.314
131 0.926607 3.66667 1.63587 8 51 0.156345 182 10 142.95
132 1.45053 4.07692 1.81589 6 53 0.124184 193 17 143.114
133 1.73121 4 1.87207 5 54 0.137743 225 0 143.367
