#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
94 1.29131 2.25 0.552949 2 44 0.498376 66 43 125.249
95 0.979842 2.92308 0.621719 3 36 0.518265 93 87 120.084
96 0.67261 3 0.929781 3 27 0.109341 118 96 115.424
97 0.663025 3 0.899049 3 29 0.169464 85 112 116.029
98 0.920453 3 0.95558 3 29 0.235171 80 99 116.427
99 0.737718 3 0.81466 3 32 0.284145 92 98 118.821
100 0.747134 3 0.939335 3 28 0.135328 89 107 116.227
101 1.25838 3 0.717168 3 30 0.401258 56 63 117.263
102 0.639375 4 1.22456 4 29 0.187515 149 92 118.031
103 0.674279 3.23077 0.888209 3 40 0.204618 103 175 125.794
104 0.587605 3 0.711139 3 39 0.306776 82 108 123.47
105 1.33592 2.23077 0.654145 2 30 0.489593 60 45 115.54
106 1.2582 3 0.6068 3 28 0.534514 82 54 114.451
107 0.633435 3.92308 1.52959 4 24 0.115441 161 51 114.057
108 0.714598 3.16667 0.906543 3 36 0.197579 118 193 122.853
109 0.608213 3 0.832875 3 37 0.268956 83 111 121.866
110 1.28875 2.16667 0.672159 2 34 0.387448 55 40 118.318
111 0.924232 2.84615 0.7341 3 32 0.435807 97 94 118.117
112 0.710946 3 1.00223 3 26 0.161497 98 102 115.409
113 0.817362 3 0.882962 3 30 0.248204 88 110 116.804
114 0.836452 3 0.917699 3 29 0.215458 84 100 116.213
115 0.761649 3 0.902638 3 30 0.211559 89 108 117.06
116 0.594396 3 0.853254 3 30 0.198395 81 102 116.795
117 1.2306 2.23077 0.760023 2 28 0.320182 62 44 114.318
118 0.970319 3 0.82225 3 28 0.329516 99 90 115.255
119 0.616337 3 1.06735 3 26 0.1053 112 96 114.639
120 0.730528 3 0.867452 3 31 0.192992 80 115 117.616
121 0.610149 3 0.903568 3 29 0.228157 94 100 116.993
122 1.20906 2.25 0.722095 2 29 0.342408 60 46 114.594
123 0.880416 2.92308 0.866931 3 27 0.337521 94 90 114.917
124 0.70305 3 1.02238 3 26 0.202102 112 89 114.761
125 0.70637 3 0.903426 3 31 0.146301 89 123 117.283
126 0.928325 3 0.908753 3 31 0.241588 78 106 117.5
127 0.739593 3 0.870556 3 32 0.235192 89 100 119.032
128 0.512481 3 0.915538 3 30 0.204748 84 107 117.201
129 1.26053 2.16667 0.618073 2 31 0.424517 62 39 115.425
130 0.826698 3 0.831091 3 27 0.358847 105 95 115.003
131 0.890654 3 1.11404 3 24 0.0653964 99 85 114.134
132 0.807883 3 0.897639 3 30 0.204255 87 119 117.502
133 1.43769 3 0.846314 3 30 0.335154 58 72 116.083
134 0.367708 4.76923 0.946321 5 35 0.189206 143 217 122.553
135 0.86997 3.41667 0.788212 3 37 0.267697 87 107 121.868
136 0.623414 3 0.808936 3 32 0.32259 94 122 118.55
137 0.601496 3 0.878799 3 28 0.200814 86 98 116.6
138 1.39087 2.23077 0.723963 2 27 0.338206 53 40 113.725
139 1.10893 3 0.715058 3 28 0.401543 88 59 115.023
140 0.559684 4 1.46468 4 25 0.122674 164 66 114.983
141 1.36398 2.33333 0.788779 2 38 0.281371 97 131 122.164
142 1.25876 2.92308 0.512349 3 42 0.601738 70 61 123.587
143 0.677057 3.91667 0.995428 4 31 0.221274 145 145 119.562
144 0.368258 4 0.891758 4 36 0.183056 104 180 122.485
145 1.05584 2.33333 0.613173 2 36 0.421239 71 57 119.31
146 3.14351 2 0.56415 2 28 0.525981 59 37 114.309
147 3.83887 1.41667 0.239934 3 23 0.738209 14 0 110.096
148 3.41344 2.15385 0.134711 5 17 0.889268 30 0 107.36
149 0.755515 3.41667 1.28561 8 13 0.17985 109 26 108.679
150 1.08793 2.23077 1.71652 7 19 0.136475 113 12 112.77
151 0.679055 3.58333 2.79714 8 29 0.0744031 168 2 120.91
152 0.512175 4.46154 1.75009 6 44 0.08836 323 10 131.748
153 2.34967 2.33333 0.728871 3 56 0.342153 133 183 136.896
154 0 -nan 0.569931 0 54 0.643299 15 0 129.459
155 0 -nan 0 0 32 1 0 0 114.069
156 0 -nan 0.333249 0 16 0.781153 17 4 103.818
