#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
95 0.631249 3.92308 2.41235 8 27 0.160131 116 14 121.152
96 1.41063 2.75 1.53525 5 41 0.160344 187 38 131.104
97 0.696496 4 1.52197 5 54 0.126001 198 80 142.57
98 1.41788 2.41667 1.08922 3 56 0.110119 168 139 142.687
99 1.31783 2.38462 0.734043 3 56 0.285463 70 48 139.589
100 1.86999 3 0.691679 3 54 0.483904 53 29 135.298
101 1.47714 2.61538 0.78669 5 53 0.445511 108 61 138.095
102 1.429 3 0.745941 6 52 0.377532 90 59 138.114
103 1.09004 3.84615 0.98134 7 51 0.318205 129 123 140.625
104 0.425264 6.53846 2.53777 8 51 0.137892 269 14 142.073
105 0.642168 3.83333 1.8871 3 56 0.108307 317 37 142.668
106 4.18936 1.46154 0.958368 1 58 0.129613 186 189 142.76
107 4.90894 1 0.682903 1 57 0.521931 18 0 135.965
108 3.90561 1.23077 0.534115 2 56 0.792794 26 0 132.456
109 3.65959 1.41667 0.300216 3 44 0.8319 38 0 124.764
110 2.49405 2.38462 0.531261 5 33 0.670913 54 4 120.021
111 0.73336 3.41667 2.17081 8 26 0.2 116 10 120.814
112 1.07864 3.15385 1.99356 6 39 0.0849214 196 3 129.743
113 0.623673 3.58333 2.54297 6 53 0.169105 185 12 142.696
114 1.51896 2.53846 1.73596 3 56 0.0336454 243 26 143.009
115 1.26526 2.66667 0.983316 3 56 0.131067 127 135 142.644
116 0.97823 3 0.9689 3 56 0.251304 82 59 141.323
117 0.766306 3 0.887695 3 55 0.264718 96 120 139.693
118 0.821147 3 0.846547 3 54 0.274307 90 113 139.221
119 0.857198 3 0.870559 3 49 0.282479 86 112 135.068
120 0.783207 3 0.959773 3 47 0.231372 83 101 134.417
121 0.798298 3 0.893376 3 51 0.296502 94 126 136.539
122 0.940742 3 0.932658 3 50 0.245404 85 115 136.663
123 1.1287 3 0.784684 3 54 0.447681 57 71 136.731
124 1.33393 3.69231 0.917523 4 51 0.254413 123 160 138.177
125 0.551103 4.75 1.0858 5 54 0.132556 166 219 142.017
126 0.768709 3.38462 0.931402 3 56 0.209226 101 155 141.613
127 0.805704 3 0.784446 3 56 0.330725 76 98 139.111
128 0.73553 3 0.910939 3 48 0.300414 78 125 135.456
129 0.792444 3 0.828961 3 49 0.326116 84 103 134.33
130 0.845575 3 0.927234 3 44 0.184487 73 105 131.653
131 0.848139 3 0.919753 3 46 0.324111 81 108 132.534
132 0.857592 3 0.935386 3 48 0.243558 78 106 134.564
133 0.729245 3 0.92691 3 51 0.20945 80 114 136.664
134 0.881963 3 0.789693 3 54 0.412284 75 92 136.786
135 0.706255 3 0.944089 3 46 0.172024 84 127 133.475
136 0.860993 3 0.764839 3 50 0.464686 78 94 134.923
