#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 3.6125 1 0.324265 1 1 0.837867 4 0 232.311
1 2.97727 1.09091 0.30264 2 1 0.54604 2 0 95.5492
2 2.55423 1.63636 0 3 1 1 1 0 96.1963
3 0.970203 2.81818 114 5 1 0 2 0 97.5761
4 0.27282 3.18182 91.4386 5 2 0.291768 5 0 97.9101
5 0.473563 4.18182 59.2147 3 3 0.146244 12 0 97.532
6 0.937595 2.5 51.0498 2 5 0.135046 18 0 98.3695
7 1.1031 2 29.4103 2 8 0.20529 31 0 100.156
8 1.24798 2 16.676 2 12 0.175142 59 0 103.215
9 1.15939 2 10.0327 2 18 0.09443 115 0 107.534
10 1.30385 2 5.73038 2 27 0.324754 165 0 113.498
11 1.57729 2.38095 2.99704 3 41 0.112776 348 0 126.265
12 0.868525 3.45455 2.92086 4 55 0.138039 344 0 138.684
13 0.605946 3.3 2.79182 3 56 0.0805943 307 0 139.4
14 3.46662 2.09091 1.97388 1 58 0.060517 328 0 139.809
15 4.13187 1 0.913804 1 58 0.102844 230 151 139.118
16 4.24012 1 0.465437 1 57 0.490993 18 0 133.115
17 3.84716 1.09524 3.79136e-05 2 43 0.999991 10 0 120.266
18 3.5599 1.36364 0 3 32 1 0 0 114.21
19 1.11283 2.2 0.661323 5 24 0.524465 86 41 113.363
20 0.721384 2.54545 2.35154 6 20 0.199993 93 9 111.803
21 0.463328 3.4 3.13212 5 30 0.125417 117 0 119.01
22 1.12257 2.95238 1.48683 3 45 0.0460173 332 15 129.786
23 3.04224 1.72727 0.778597 2 57 0.226034 140 140 137.879
24 2.22386 2 0.5 2 56 0.742989 2 0 130.789
25 3.63885 1.7 0.369215 3 42 0.783206 80 26 123.231
26 1.08343 2.54545 1.08803 5 32 0.363111 114 52 121.876
27 0.487361 2.4 1.11787 6 40 0.19262 195 40 127.795
28 0.536588 3.90909 1.22973 3 51 0.153719 224 159 134.255
29 0.985526 2.09091 0.684031 2 57 0.396466 107 123 135.55
30 1.03567 2 0.474174 2 46 0.649906 62 52 126.557
31 1.00657 2 0.72225 2 27 0.454388 66 39 114.428
32 1.09377 2 0.845317 2 23 0.259491 68 35 111.754
33 1.03089 2 0.829618 2 23 0.23748 73 39 111.301
34 0.989034 2 0.869202 2 22 0.19123 80 33 110.558
35 1.02481 2 0.909537 2 22 0.169102 87 32 110.471
36 1.03074 2 1.30253 2 24 0.263156 90 41 112.097
37 1.0815 2 0.696725 2 36 0.455344 84 84 119.412
38 1.05299 2 0.704485 2 31 0.440619 55 48 116.4
39 1.09259 2 0.716149 2 27 0.359374 75 41 114.223
40 1.11135 2 0.758218 2 24 0.312582 72 39 111.711
41 1.42399 2.54545 0.752928 3 22 0.379189 59 39 111.321
42 0.33982 4.3 1.71077 5 23 0.101602 187 16 113.255
43 0.597553 4.09091 0.895423 3 35 0.175548 179 196 121.289
44 1.19516 2.72727 0.814189 2 35 0.240951 85 69 119.902
45 0.786014 2.46154 0.764066 3 36 0.438129 80 75 120.487
46 0.601105 3 1.12668 3 30 0.274078 113 101 117.759
47 0.60672 3 0.754562 3 39 0.353561 93 141 123.019
48 1.10776 2.4 0.762055 2 32 0.280066 71 54 116.758
49 0.615275 2.54545 0.631322 3 30 0.419623 79 63 115.8
50 0.959223 2.72727 0.961915 2 20 0.151282 91 57 110.401
51 0.951097 2 0.845401 2 22 0.270182 88 26 110.639
52 0.880119 2 1.30106 2 21 0.156064 118 34 110.122
53 1.01564 2 0.725387 2 32 0.381691 82 70 116.671
54 0.964028 2 0.656351 2 28 0.375321 70 44 113.793
55 1.03072 2 0.736604 2 22 0.381594 68 40 110.672
56 1.06574 2 0.985107 2 19 0.193504 84 22 108.708
57 1.00392 2 0.810264 2 22 0.196127 74 33 110.604
58 1.02825 2 0.928578 2 20 0.132672 80 29 109.692
59 1.08414 2 1.39497 2 22 0.203454 110 28 110.676
60 1.00641 2 0.890327 2 33 0.418243 92 60 117.631
61 1.05175 2 0.714684 2 35 0.362494 75 58 119.238
62 1.02058 2 0.665813 2 30 0.39146 66 42 115.518
63 0.955675 2 0.691962 2 25 0.356483 72 40 112.662
64 1.10262 2 0.795501 2 20 0.278525 65 26 109.045
65 0.901078 2.8 1.73793 3 19 0.13002 126 12 109.591
66 0.449501 3 1.09372 3 29 0.147568 186 33 116.562
67 0.846881 2.5 0.969928 2 36 0.253123 138 104 120.667
68 0.960622 2 0.696794 2 39 0.518938 67 74 120.862
69 1.09026 2 0.60289 2 31 0.635957 63 39 115.623
70 1.07569 2 0.940018 2 25 0.375361 69 34 112.741
71 1.00364 2 0.770045 2 29 0.373327 68 64 114.472
72 0.9424 2 0.817055 2 26 0.200951 77 40 113.238
73 0.93988 2 0.704035 2 24 0.335214 74 39 111.843
74 0.914777 2 1.48746 2 19 0.182475 103 30 109.106
75 1.06077 2 0.894913 2 29 0.354172 106 50 114.724
76 1.00812 2 0.667808 2 32 0.371091 72 57 116.808
77 1.03038 2 0.706336 2 26 0.324728 61 41 113.269
78 0.946176 2 0.761316 2 22 0.293107 76 36 110.32
79 0.890182 2 1.44441 2 19 0.195359 105 27 108.951
80 0.973244 2 0.812276 2 29 0.329643 109 61 114.709
81 1.14711 2 0.712731 2 27 0.323331 61 43 113.699
82 0.668231 2.45455 0.749237 3 24 0.35344 81 53 112.934
83 0.555523 3 1.17792 3 19 0.126964 117 22 110.039
84 1.19088 2.47619 0.844251 2 26 0.220071 120 72 114.001
85 0.857101 2.90909 1.34256 3 28 0.175312 117 61 115.148
86 0.535182 3 0.73994 3 42 0.388505 99 136 125.974
87 1.17224 2.5 0.710121 2 34 0.369521 72 60 119.569
88 0.706049 2.63636 0.731303 3 31 0.333115 81 67 116.838
