#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 5.29225 1 7.6852e-05 1 1 0.999923 1 0 142.226
1 4.30233 1.3 2.26276 2 1 0.676748 3 0 95.7175
2 3.59996 1.25 7.09961 3 2 0.101032 5 0 97.4238
3 2.97537 1.5 16.9857 4 3 0.123995 7 0 98.7874
4 2.0857 2.42857 13.9172 5 5 0.222893 14 0 100.76
5 1.14007 3.72222 32.0105 6 8 0.411161 18 0 103.809
6 0.232383 5.2 27.5663 7 12 0.18714 35 0 106.785
7 0.652275 3.54545 21.6204 4 18 0.135247 54 0 109.964
8 0.786251 2.90909 11.6309 3 27 0.192762 101 0 116.623
9 0.820727 2.9 5.97273 3 41 0.215066 196 0 128.001
10 0.706091 2.95238 3.03555 3 56 0.0919673 451 0 141.928
11 5.01424 1.1 2.71958 1 58 0.0498423 344 0 142.541
12 5.83758 1 1.63624 1 58 0.0383221 345 26 142.399
13 5.23415 1 0.897262 1 58 0.188677 119 114 142.107
14 4.72397 1 0.798273 1 57 0.524973 41 13 136.072
15 4.43712 1.13333 0.606607 2 57 0.509495 36 2 134.731
16 5.37983 1 0 2 50 0.846883 0 0 127.626
17 4.83904 1.1 0 3 38 0.947368 0 0 118.125
18 1.34211 1.9 0.198929 5 29 0.879279 44 26 115.284
19 0.502766 2.81818 3.39603 8 22 0.365295 57 6 115.659
20 2.9505 4.27273 4.1593 4 33 0.252478 111 0 122.712
21 2.98526 2.09091 1.32388 5 50 0.236724 188 85 137.292
22 1.27412 3.1 0.756965 4 55 0.36984 111 105 139.877
23 0.900261 3 2.421 4 53 0.166829 135 15 141.929
24 1.3064 2.54545 1.66709 3 56 0.168071 199 1 142.418
25 1.42116 2 1.08369 3 56 0.13899 170 127 142.203
26 1.33058 2 0.880942 3 56 0.381544 72 56 138.522
27 1.00792 2.68182 1.24654 3 55 0.347975 81 35 139.603
28 1.69968 2.2 0.618912 2 57 0.409636 34 32 137.544
29 1.52297 2 0.738203 2 51 0.501328 79 68 133.311
30 4.54305 1.81818 0.922629 3 53 0.486551 87 92 136.793
31 0.997923 1.7 0.791442 3 56 0.276583 98 51 140.723
32 0.931151 3 0.856372 3 51 0.3541 108 52 138.282
33 0.902476 3 0.725215 3 48 0.430964 78 63 132.11
34 0.683622 3 1.84126 3 38 0.1922 128 21 126.134
35 1.07576 2.54545 0.978698 2 57 0.219257 203 158 141.576
36 1.33698 2 0.840126 2 57 0.272378 101 117 139.809
37 1.26918 2 0.675393 2 56 0.473818 56 47 135.966
38 2.94225 1.85714 0.635245 3 53 0.568527 66 46 133.623
39 1.17062 2.45455 1.05275 5 49 0.51477 96 45 132.839
40 0.442659 4.2 1.17155 6 53 0.232181 192 105 141.001
41 1.39328 4.36364 0.923549 2 57 0.200015 169 175 141.864
42 1.32809 2 0.751482 2 57 0.44029 45 47 136.327
43 1.40604 2 1.05247 2 56 0.630972 40 39 134.384
44 1.62377 2 0.659429 2 57 0.576131 30 17 135.642
45 1.3544 2 0.654411 2 54 0.609097 47 49 135.362
46 3.47984 1.54545 0.663128 3 51 0.546986 59 50 134.111
47 1.42684 2.8 0.715181 5 49 0.512834 87 61 134.225
48 0.371899 4.1 2.05055 8 50 0.253687 148 100 139.945
49 0.857401 3.27273 1.20929 3 56 0.128213 269 160 142.252
50 1.05485 2.27273 0.883807 2 57 0.19783 95 116 140.776
51 1.20249 2 0.684562 2 57 0.536458 58 53 136.963
52 1.10973 2 0.687042 2 52 0.431335 58 53 133.661
53 0.930123 2.3 0.628018 3 45 0.493086 65 52 130.181
54 0.543932 3 1.26105 3 32 0.325158 129 92 121.955
55 1.18701 2.27273 0.908905 2 46 0.412793 71 108 128.757
56 0.786434 2.90909 0.675388 3 55 0.386607 82 113 137.024
57 0.591829 3 0.791611 3 40 0.369669 84 80 128.242
58 1.21802 2.7 0.881758 2 35 0.254775 80 61 123.229
59 0.860776 2.66667 1.5909 3 40 0.327936 79 76 125.822
60 0.543822 3 0.843578 3 56 0.474507 109 142 137.573
61 1.24567 2.27273 0.858902 2 52 0.524504 64 62 135.377
62 0.782409 2.81818 0.705679 3 56 0.338797 81 109 138.03
63 0.591579 3 0.701297 3 42 0.441385 72 78 128.799
