#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 1.64612 1 4.40664 1 1 0.0668282 55 0 80.1778
1 1.00201 1.69307 9.82273 2 2 0.0372426 129 0 76.8933
2 0.582536 1.92473 13.9643 2 3 0.0378414 144 0 77.3411
3 0.649888 1.05051 7.81568 2 5 0.0164433 310 0 78.5548
4 0.714157 1.14151 3.46488 2 8 0.0133056 784 0 79.9126
5 0.810911 1.44 2.8278 2 12 0.0196188 919 0 82.4632
6 0.935659 1.94898 1.96435 2 18 0.0133893 1314 0 85.889
7 1.05219 2 1.576 2 27 0.0147423 1422 0 91.4808
8 0.618827 2 0.874958 2 41 0.120876 1847 127 99.9125
9 0.607649 2 0.297501 2 39 0.709241 492 462 95.7727
10 0.654048 1.6729 0.527304 2 20 0.483268 594 301 86.1435
11 0.735278 1.20792 0.742659 2 11 0.286897 571 21 81.9098
12 0.704805 1.04 0.873308 2 9 0.173332 508 2 80.7142
13 0.846007 1.3913 1.26146 2 8 0.0411094 506 2 80.2469
14 0.843138 1.81905 1.41287 2 12 0.00915925 786 0 82.6981
15 0.839598 1.88462 1.08225 2 18 0.0478393 1072 0 86.1479
16 0.784037 2 1.0246 2 22 0.00923621 1123 58 88.7391
17 0.820168 1.97895 0.610992 2 25 0.393874 588 383 89.0936
18 1.00129 1.9901 1.23082 2 16 0.0298959 722 51 84.9454
19 1.02343 2 1.01963 2 22 0.025733 1066 56 88.7486
20 0.839826 2 0.746754 2 26 0.260865 564 341 89.9292
