#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 1 6261.1
7 1 7763.16
8 1 8858.63
9 2 9377.2
10 8 9309.63
11 3 9576.16
12 8 8853.43
13 1 9237.34
14 12 8899.18
15 18 6622.54
16 2 5827.19
17 3 6380.84
18 2 6558.17
19 0 0
20 1 8176.61
21 4 9159.26
22 11 8434.17
23 1 8401.54
24 0 0
25 4 9871.77
26 11 9260.88
27 29 6165.84
28 9 3829.97
29 1 3823.28
30 2 4171.18
31 8 4331.09
32 1 4360.41
33 6 4791.8
34 5 4338.26
35 3 4805.17
36 8 4537.35
37 4 4797.83
38 6 4218.73
39 3 4577.03
40 9 4148.61
41 2 4428.56
42 9 4149.16
43 1 4088.57
44 5 4543.18
45 5 4333.36
46 7 4567.47
47 4 4116.39
48 3 4604.8
49 8 4634.9
50 4 4288.87
51 6 4279.34
52 3 4563.14
53 7 4492.58
54 1 4693.01
55 6 5034.57
56 5 4440.98
57 10 4535.77
58 1 4446.35
59 3 5043.99
60 7 4817.8
61 1 5028.22
62 2 5307.51
63 12 5347.51
64 2 4956.79
65 6 4868.9
66 10 4186.96
67 9 3633.42
68 2 3516.82
69 3 3946.19
70 7 3638.15
71 3 3996.99
72 2 4601.2
73 1 5014.31
74 8 5113.61
75 1 5167.09
76 11 5048.23
77 6 4208.41
78 1 4615.41
79 9 4745.27
80 1 4668.44
81 2 5451.42
82 10 5413.86
83 3 4919.75
84 8 4486.11
85 5 4598.69
86 7 4116.93
87 3 4515.77
88 6 4501.37
89 4 4640.07
90 6 4422.5
91 2 4636.89
92 9 4458.41
93 3 4415.97
94 7 4405.57
95 1 4503.79
96 3 5017.52
97 9 4868.65
98 5 4647
99 5 4436.2
100 9 4178.01
101 1 4366.25
102 9 4377.32
103 2 4084.01
104 3 4748.51
105 6 4693.93
106 2 4715.64
107 6 5072.31
108 6 4600.12
109 10 4153.89
110 2 4247.65
111 4 4413.54
112 5 4306.02
113 3 4575.69
114 5 4845.1
115 2 5207.89
116 6 5595.2
117 8 4842.9
118 2 5040.71
119 6 4784.83
120 6 4901.71
121 5 4654.44
122 10 4549.24
123 1 4455.22
124 3 5035.51
125 7 5184.01
126 7 4825.35
127 4 4245.8
128 6 4575.52
129 4 4550.71
130 2 4826.77
131 2 5178.1
132 11 4885.44
133 7 4342.32
134 3 4350.19
135 7 4228.32
136 4 4163.55
137 7 4006.73
138 2 4274.4
139 2 4641.83
140 7 4587.03
141 3 5080.95
142 2 5437.74
143 13 4920.35
144 3 4492.48
145 4 4766.49
146 8 4463.92
147 4 4260.89
148 7 4117.72
149 1 4369.5
150 6 4724.23
151 6 4332.97
152 3 4710.85
153 6 4289.54
154 9 4143
155 3 4112.93
156 6 3897.24
157 2 3884.1
158 4 4514.19
159 7 4377.33
160 3 4677.65
161 8 4325.11
162 2 4360.6
163 8 4499.15
164 3 4600.77
165 8 4453.47
166 2 4400.22
167 7 4555.05
168 1 4393.16
169 11 4459.2
170 1 4357.04
171 3 4969.13
172 7 4957.01
173 3 4458.16
174 8 4692.3
175 10 4093.7
176 0 0
177 4 4544.32
178 2 4798.98
179 6 5074.78
180 3 5337.25
181 9 4902.4
182 2 4634.45
183 8 4580.77
184 8 4199.31
185 2 3881.74
186 3 4717.44
187 7 4598.77
188 1 4767.19
189 1 5245.8
190 4 6223.31
191 5 6232.94
192 3 6585.19
193 10 6286.04
194 8 5277.4
195 5 4838.15
