#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 2.59435 1 9.209e-05 1 1 0.999908 1 0 274.358
1 2.80956 1.375 0.948175 2 1 0.473236 6 0 76.3894
2 2.62372 -nan 6.81392 3 2 0.181945 5 0 77.7072
3 1.63295 2.4 3.85328 4 3 0.14158 13 0 78.8239
4 0.413421 5 12.0981 5 5 0.245531 15 0 79.9203
5 0.617261 3.75 10.0581 3 8 0.28993 27 0 80.9639
6 0.634712 2.66667 7.71626 2 12 0.203924 42 0 82.5748
7 0.604513 2 5.76658 2 18 0.36945 45 0 85.2623
8 0.996877 2 2.61359 2 27 0.155688 134 0 91.4907
9 1.45849 -nan 2.4859 2 41 0.409458 85 0 99.1746
10 0.782965 1.9 0.7444 3 56 0.349548 107 120 109.544
11 0.82012 -nan 0.693406 3 45 0.566528 10 0 102.09
12 0.878895 2.27273 0.757721 3 33 0.457167 62 59 96.4678
13 0.812444 -nan 0.590891 3 27 0.741466 4 0 91.259
14 0.567474 1.11111 0.610638 3 17 0.629484 35 14 85.6147
15 0.993929 -nan 0.479231 2 11 0.615783 11 0 82.8043
16 0.890572 1.6 1.86854 2 6 0.202257 36 0 79.2324
17 1.07984 -nan 1.2834 2 9 0.377172 25 0 80.5288
18 0.700314 1.4 1.24275 2 13 0.236709 57 1 83.3082
19 0.717804 -nan 0.668373 2 18 0.451828 19 2 85.0031
20 0.548346 2 1.50516 2 13 0.382173 58 6 82.9638
21 2.33881 -nan 0.759674 1 19 0.275129 46 25 85.6898
22 1.78776 1.7 0.390868 2 20 0.678635 23 2 85.3681
23 0.926808 -nan 0.77293 3 15 0.456271 35 10 84.4973
24 0.701376 2 1.72261 3 13 0.376172 47 6 83.5477
25 0.761196 -nan 0.895235 2 20 0.441742 44 9 86.5577
26 0.727023 1.45455 1.22721 2 20 0.640393 31 11 86.145
27 0.80487 -nan 0.692888 2 28 0.557378 22 20 90.5068
28 1.67969 1.22222 0.845908 2 21 0.663021 25 16 86.9567
29 0.634397 -nan 0.547035 3 25 0.642961 13 1 89.0166
30 0.801058 1.2 0.815952 3 14 0.483555 47 5 83.6848
31 1.21795 -nan 0.342144 3 12 0.436787 7 1 82.8589
32 1.17192 2 1.31192 4 8 0.746528 26 1 80.7288
33 1.41099 -nan 1.26608 5 12 0.233303 50 0 84.1788
34 0.794916 1.9 1.71334 6 18 0.473318 37 12 87.5883
35 0.810701 -nan 0.95919 5 27 0.407768 44 20 91.6378
36 0.749891 1.81818 1.84332 5 29 0.699654 24 13 91.8589
37 0.73068 -nan 0.592973 4 44 0.598579 38 30 100.363
38 0.658447 1.5 0.914715 4 28 0.849291 9 2 91.8438
39 0.899876 2.625 0.628964 3 29 0.470513 47 60 92.0808
40 1.11989 -nan 0.735203 3 19 0.873618 2 0 86.5027
41 0.771982 2.27273 1.45742 4 17 0.239729 68 15 87.468
42 1.00531 -nan 0.739894 3 26 0.428613 24 25 90.8616
43 1.03514 2.33333 1.67967 4 23 0.42847 56 15 90.2694
44 1.83273 -nan 0.886485 4 35 0.480195 23 36 96.1303
45 0.893497 2.3 0.690292 6 43 0.575755 50 54 101.69
46 0.750801 -nan 1.038 6 32 0.618229 9 0 95.8923
47 0.676449 3.1 0.819949 6 38 0.589286 55 76 98.3804
48 0.859567 -nan 0.816304 5 33 0.491513 15 15 96.4028
49 0.670251 2.90909 1.48752 5 30 0.556497 53 32 94.3282
50 0.852901 -nan 0.814847 4 45 0.522773 31 41 101.891
51 0.735746 2.90909 0.966623 4 40 0.677002 39 57 97.963
52 0.775403 -nan 0.675207 4 44 0.419042 27 35 101.182
53 0.744369 2.33333 0.551481 4 32 0.844026 14 16 93.9753
54 0.767914 2.625 0.937849 4 19 0.267122 60 47 90.1326
55 0.616602 -nan 0.546734 4 20 0.517113 7 0 87.2128
56 0.633224 2.45455 2.13449 3 11 0.105404 65 1 83.3981
57 0.855575 -nan 0.68395 2 17 0.376341 45 34 85.2363
58 0.829636 2.09091 1.75678 2 12 0.110963 58 0 83.0283
