#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 1.56865 1 4.37185 1 1 0.183922 29 0 82.6746
1 0.98949 1.56863 10.9584 2 2 0.0324282 51 0 77.001
2 0.57389 2 9.79221 2 3 0.00677038 107 0 77.4042
3 0.592121 1.26531 10.07 2 5 0.0579833 119 0 78.5262
4 0.810384 1.02041 3.20907 2 8 0.0355617 418 0 79.9675
5 0.847342 1.66038 3.15834 2 12 0.0334119 433 0 82.5862
6 0.737111 1.10204 1.75664 2 18 0.0460792 680 0 85.8812
7 0.750978 1.08163 0.933621 2 27 0.0590339 816 7 91.3051
8 0.758164 1.36735 0.293044 2 29 0.70884 218 117 90.173
9 0.765884 1.22807 0.578971 2 15 0.467501 271 69 83.7692
10 0.765857 1.21277 0.840102 2 9 0.350647 227 5 80.8288
11 0.71978 1.88235 2.11717 2 8 0.0102163 254 0 80.4213
12 0.773619 2 1.69428 2 12 0.0618746 398 0 82.7756
13 1.08595 1.98113 1.69803 2 18 0.0113133 493 0 86.4368
14 1.08609 2 1.33479 2 27 0.0784198 539 0 91.4318
15 1.00868 2 0.788213 2 41 0.244641 582 174 99.5019
16 0.751426 2 0.491373 2 37 0.508756 303 225 95.8021
17 0.563411 2 0.618787 2 19 0.392305 371 159 85.9521
18 0.517871 2 0.959509 2 12 0.0935079 455 44 82.6123
19 2.62327 1.11111 0.434483 1 13 0.571024 135 25 81.8969
20 1.89376 1.29545 0.635262 2 10 0.455302 135 8 81.156
21 1.21513 2.04 3.91229 3 9 0.0188076 204 0 81.5937
22 0.199236 3.56863 1.89908 4 14 0.0286794 783 0 84.6306
23 0.768738 1.60784 0.881935 2 21 0.110996 1122 24 88.1109
24 0.779883 1.17647 0.354863 2 20 0.666833 218 82 86.12
25 0.732924 1.12245 0.772181 2 10 0.263235 268 4 81.4741
26 0.901346 1.32692 1.28348 2 8 0.125747 238 0 80.31
27 0.771018 1.64151 1.27862 2 12 0.0606068 383 23 82.7528
28 0.759883 1.95349 0.923269 2 18 0.0955428 503 49 86.2056
29 0.795426 1.84615 0.63973 2 19 0.423457 311 148 85.7888
30 0.628826 2 1.59438 2 13 0.00508214 333 9 83.6719
31 1.01909 1.92453 0.917579 2 20 0.112009 517 89 87.3031
32 0.936653 2 0.990202 2 22 0.111348 376 122 88.6851
33 0.677621 2 0.692066 2 25 0.300741 381 171 89.3668
34 0.708621 2 0.75996 2 19 0.286941 342 164 86.3555
35 0.874629 2 1.13219 2 15 0.0679974 344 31 84.5445
36 0.947798 2 1.14595 2 19 0.0122814 526 3 87.1784
37 1.04606 2 0.869678 2 25 0.122328 382 136 90.0671
38 1.00808 2 0.716762 2 26 0.311518 324 210 90.2267
39 1.04952 2 0.715517 2 22 0.292059 283 144 88.2934
40 1.1148 2 1.25323 2 19 0.0391602 380 55 87.1572
41 0.620668 2 0.814786 2 26 0.201494 366 134 90.1236
