#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 1.62953 1 1.69993 1 1 0.206701 15 0 118.009
1 0.911414 1.34483 7.93931 2 2 0.0351915 32 0 76.9911
2 0.581465 1.62069 12.0086 2 3 0.120522 35 0 77.3524
3 0.76571 1 5.67014 2 5 0.151206 83 0 78.4489
4 0.869343 1.68182 3.75921 2 8 0.131515 149 0 79.8865
5 0.677449 1.96429 3.32522 2 12 0.0437581 213 0 82.3727
6 0.602531 1.52 2.12695 2 18 0.0309542 338 0 85.7553
7 0.551688 1 1.04246 2 27 0.0727824 478 0 91.2252
8 0.622134 1 0.315763 2 32 0.701171 123 24 91.4259
9 0.750797 1.36667 0.480163 2 16 0.583984 147 52 83.893
10 0.945631 1.81818 1.18937 2 8 0.24908 133 4 80.2839
11 0.713067 2 2.28612 2 11 0.0688166 154 0 82.0431
12 0.604368 1 1.32328 2 17 0.155137 213 0 85.1903
13 0.811458 1.2 0.552736 2 26 0.475474 221 53 89.6485
14 0.808088 1.26316 0.476221 2 15 0.572105 101 27 83.5963
15 0.55651 1 0.878852 2 8 0.206018 130 3 80.3346
16 0.770952 1.52381 1.17942 2 8 0.24432 105 3 80.0471
17 0.68054 1.14286 1.00479 2 11 0.0534893 208 2 82.1035
18 0.889464 1.23333 0.77221 2 13 0.408247 124 26 82.5131
19 0.641334 1.05556 0.731342 2 11 0.225237 129 10 81.8609
20 0.497311 1 0.621467 2 9 0.384558 128 2 80.4903
21 2.09632 1.14286 0.352493 1 6 0.650652 58 2 78.2465
22 1.6737 1.61905 2.76233 2 5 0.0459488 62 0 78.6597
23 0.705928 2.625 4.9951 3 8 0.127089 113 0 80.7125
24 0.80257 1.95238 3.21921 2 12 0.152879 199 0 82.4931
25 0.748556 1.95455 1.83724 2 18 0.107034 369 0 85.7848
26 1.07452 1.96875 1.50549 2 27 0.101733 352 0 91.3649
27 1.11558 2 0.812516 2 41 0.197958 341 89 100.09
28 0.801166 2.7619 0.773958 3 40 0.235345 196 204 98.9778
29 0.569282 2.93548 0.72863 3 34 0.39422 190 229 95.5361
30 1.04229 1.95238 0.737853 2 27 0.265549 137 97 90.8242
31 1.12506 2 0.716657 2 24 0.346278 133 76 89.2503
32 0.487026 2.63636 1.41351 3 21 0.0776865 279 20 88.6417
33 0.980343 1.7619 0.447978 2 32 0.564298 179 145 92.2313
34 0.737655 1.86957 0.748724 2 18 0.264086 170 50 85.8073
35 0.84673 1.58065 0.658791 2 14 0.484153 161 46 83.0198
36 0.840497 1.57143 1.43572 2 10 0.0104446 135 5 81.62
37 0.767665 1.42857 0.77677 2 15 0.289002 212 35 83.7829
38 0.885457 1.81818 1.00956 2 13 0.179851 160 19 83.1754
39 0.784202 1.95455 1.03598 2 15 0.0643704 193 38 84.196
40 0.80438 1.87097 0.874924 2 18 0.19678 229 66 85.8036
41 0.688958 2 0.717258 2 17 0.269379 159 66 85.1574
42 0.66718 1.8125 1.11473 2 13 0.166809 206 23 83.2687
43 0.77605 1.10526 0.54957 2 16 0.453984 139 28 84.0263
44 0.68308 1 0.647004 2 9 0.400168 125 0 80.542
45 0.857068 1.05263 1.05067 2 6 0.137024 108 0 79.0968
46 0.743685 1.86364 2.09448 2 7 0.0669963 103 0 79.5055
47 0.74092 1.45161 1.44639 2 11 0.0316169 238 0 82.0233
48 0.77036 1.3 0.69622 2 17 0.316953 210 31 84.765
49 0.716159 1.2 0.629272 2 13 0.423809 150 29 82.8235
50 0.754941 1.4 0.793212 2 9 0.195272 132 9 80.9753
51 0.657939 1.03448 1.10744 2 8 0.0642724 131 0 80.2639
52 0.792331 1 0.761189 2 10 0.228016 124 0 81.3603
53 0.954236 1.53125 1.55546 2 8 0.151635 138 1 80.239
54 0.84396 1.22727 1.06229 2 12 0.133378 207 0 82.6178
55 0.759325 2 0.934346 2 14 0.116615 188 37 83.7734
56 0.709265 2 1.27153 2 15 0.03638 216 35 84.2596
57 0.606105 1.95455 0.762625 2 22 0.249307 210 83 88.0661
58 0.770766 1.95 0.643014 2 18 0.357701 126 69 85.4284
59 0.948362 1.6875 1.0165 2 12 0.293928 176 27 82.6853
60 0.753585 2 1.78611 2 14 0.0688154 153 0 84.1668
61 0.516451 2 1.2638 2 21 0.0481617 337 5 88.3382
62 2.42286 1 0.35916 1 31 0.710398 115 37 90.8772
63 2.65484 1.45455 0.142946 2 23 0.894178 31 7 86.8659
64 2.19394 2.1875 0.878448 3 17 0.387321 136 22 85.6423
65 0.600401 3.04762 3.24819 5 21 0.0811188 198 3 89.7201
66 0.344901 3.5 1.65057 3 32 0.0363308 522 0 95.0786
67 0.729658 2.22581 0.660509 2 48 0.368294 384 300 102.707
