#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
97 0.823474 2 0.91409 2 22 0.191907 91 24 111.476
98 0.822433 2 0.736275 2 22 0.265428 86 30 110.783
99 0.858931 2 0.789486 2 17 0.267351 77 33 107.016
100 0.807391 2 1.7668 2 15 0.0758252 106 24 106.547
101 0.93238 2 1.37595 2 23 0.326173 117 8 111.483
102 1.01854 2 0.853811 2 35 0.324783 104 75 120.206
103 0.876078 2 0.623268 2 35 0.38624 64 49 119.815
104 0.933792 2 0.77022 2 23 0.361208 61 46 112.915
105 0.836875 2 0.974673 2 20 0.295863 81 24 110.11
106 0.891228 2 1.55654 2 22 0.150891 107 24 111.656
107 0.987375 2 0.929863 2 33 0.445997 94 62 117.68
108 1.02236 2 0.80774 2 36 0.376512 68 68 120.628
109 1.1602 2 0.814374 2 34 0.316065 64 52 119.365
110 0.514401 2.72727 0.815975 3 34 0.307388 82 71 120.367
111 0.811049 2.7 0.826206 2 30 0.314079 82 59 118.109
112 0.662711 2 1.39597 2 27 0.240044 83 52 115.474
113 0.721683 2 0.636029 2 41 0.49269 94 82 121.923
114 0.939493 2 0.6584 2 28 0.556931 62 48 114.157
115 0.9162 2 0.984075 2 21 0.313742 74 27 110.751
116 0.718094 2 0.766073 2 23 0.283876 80 36 111.186
117 0.577659 2 0.779791 2 19 0.219899 87 18 108.273
118 0.601424 2 1.23552 2 16 0.262071 113 36 105.834
119 0.432518 2 0.693097 2 23 0.396735 110 56 110.199
120 2.46333 1.4 0.373362 1 17 0.651841 21 4 105.05
121 1.78908 1.18182 0.688127 2 13 0.501108 68 10 103.664
122 0.780559 2.09091 1.84038 3 13 0.101249 68 8 104.998
123 0.215749 3 1.53291 3 20 0.0873489 214 20 110.018
124 0.52992 2.2 0.650224 2 30 0.39787 150 102 114.796
125 0.877973 1.54545 0.360087 2 21 0.667893 55 30 108.473
126 0.959555 1.9 0.739533 2 11 0.323343 87 8 102.555
127 0.828716 1.90909 1.22723 2 9 0.0869337 79 1 101.642
128 0.673745 2 1.77376 2 13 0.0435935 127 4 104.193
129 0.771339 2 1.02261 2 20 0.285762 133 29 108.816
130 0.918328 2 0.906684 2 23 0.301901 84 55 110.767
131 0.928228 2 0.848138 2 23 0.254983 72 49 111.02
132 0.927595 2 0.838098 2 22 0.236938 78 37 110.485
133 0.66695 2 0.863298 2 21 0.156643 83 31 110.057
134 0.585357 2 0.790226 2 20 0.205849 92 20 109.356
135 0.741512 2 1.25291 2 17 0.246622 112 30 106.744
136 0.873945 2 0.85412 2 24 0.467433 97 42 111.054
137 0.838262 2 0.97999 2 23 0.24861 83 49 111.205
138 0.908829 2 0.788604 2 25 0.234783 79 52 112.387
139 0.918598 2 0.71741 2 22 0.364729 69 33 111.03
140 0.775647 2 0.919254 2 17 0.214669 83 24 107.748
141 0.950551 2 0.889558 2 18 0.120712 90 25 108.071
142 0.88904 2 1.65082 2 18 0.100727 103 28 108.266
143 1.05208 2 1.13403 2 27 0.315489 117 23 113.722
