#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 1 3195.92
4 1 3969.28
5 1 4908.13
6 1 5973.1
7 0 0
8 2 7457.48
9 0 0
10 2 9009.3
11 1 10377.9
12 2 10295.2
13 1 11745.3
14 2 11788.2
15 0 0
16 5 13393.7
17 1 13949.5
18 4 14040.2
19 5 14170.6
20 5 14219.8
21 1 14635.5
22 6 14863.6
23 1 15410.3
24 1 16159.3
25 1 16779.1
26 6 17174.9
27 2 17277.1
28 3 18286
29 9 17818.7
30 10 16946.3
31 7 16115.3
32 13 15161.7
33 2 14494.6
34 9 14423.5
35 8 13770.8
36 1 13712.1
37 11 13420.9
38 11 12322.8
39 14 11000.9
40 1 10573.7
41 47 6501.24
42 0 0
43 5 3562.61
44 6 3490.4
45 1 4051.46
46 10 3775
47 9 2784.38
48 0 0
49 3 3643.18
50 8 3353.79
51 3 3394.53
52 7 3147.42
53 1 3688.18
54 6 3895.72
55 3 4042.72
56 2 4591.69
57 1 5087.51
58 4 5484.28
59 1 6537.26
60 1 6681.29
61 2 7365.34
62 5 7844.75
63 0 0
64 1 8869.78
65 2 9914.01
66 14 9159.18
67 31 5816.61
68 1 3638.88
69 10 3565.77
70 6 3246.8
71 4 2775.73
72 9 2591.08
73 0 0
74 1 3378.34
75 9 3824.77
76 5 3437.48
77 5 3072.13
78 9 2776.99
79 1 3088.01
80 10 2987.73
81 0 0
82 0 0
83 4 4412.52
84 3 4682.55
85 2 5258.03
86 0 0
87 0 0
88 1 8132.3
89 1 8881.12
90 3 9370.97
91 2 9759.86
92 8 10077.7
93 8 9242.56
94 4 9126.08
95 11 8415.32
96 6 7711.37
97 3 7933.04
98 3 8336.83
99 4 8633.38
100 14 7727.86
101 3 6917.28
102 29 4862.2
103 7 2120.8
104 1 2757.02
105 7 2437.55
106 0 0
107 0 0
108 2 5201.59
109 3 5406.41
110 2 5645.37
111 3 5860.15
112 0 0
113 2 7868.69
114 6 7849.38
115 4 7934.41
116 5 8038.14
117 2 8462.72
118 5 8461
119 2 9136.66
120 3 9616.04
121 2 10098.9
122 0 0
123 11 10886.1
124 0 0
125 7 10822.7
126 1 11267.7
127 3 11691.3
128 14 11330.4
129 2 10483.7
130 10 10472.3
131 1 9863.67
132 9 10374.7
133 13 8823.36
134 2 8486.32
135 7 8483.88
136 17 6801
137 2 6156.41
138 2 6617.76
139 11 6693.25
140 10 5456.01
141 3 4974.03
142 6 4917.56
143 6 4739.98
144 5 4709.37
145 3 5185.48
146 6 4983.91
147 3 5360.73
148 7 5119.15
149 2 5491.15
150 3 5708.71
151 10 5586.56
152 7 4929.07
153 5 4613.96
154 6 4646.95
155 5 4598.12
156 4 4232.89
157 3 4865.49
158 3 5213.66
159 5 5350.48
160 2 5752.55
161 3 6295.32
162 9 6013.06
163 9 5578.27
164 4 5063.55
165 14 4231.66
166 9 2831.69
167 0 0
168 6 3447.05
169 4 3265.32
170 1 3912.69
171 1 4675.79
172 9 4812.18
173 3 4760.74
174 3 5200.34
175 3 5359.61
176 10 4856.56
177 13 3736.08
178 4 3341.21
179 6 2778.09
180 0 0
181 2 4200.27
182 4 4429.16
183 2 4992.57
184 3 5353.32
185 4 5944.37
186 10 5731.37
187 6 4754.48
188 4 5077.53
189 15 3717.32
190 0 0
191 2 4246.88
192 2 4692.27
193 8 4959.82
194 1 4825.4
195 10 5083.56
196 1 4678.64
197 3 5135.47
198 3 5554.03
199 7 5309.43
200 2 5768.87
201 2 6479.72
202 9 6191.26
203 16 5138.64
204 4 3769.39
205 3 4141.22
206 4 4088.71
207 11 3874.66
208 2 3831.12
209 2 3823.34
210 8 3810.22
211 3 3848.47
212 7 3691.59
213 3 4033.17
214 6 4342.48
215 11 3865.54
216 5 2944.63
217 5 2522.7
218 2 3357.02
219 8 3280.57
220 5 3052.29
221 5 2851.53
222 5 2971.24
223 5 2854.35
224 2 3401
225 7 3084.86
226 5 3158.08
227 3 3238.59
228 5 3337.28
229 6 3391.09
230 4 3519.95
231 4 3734.97
232 2 4099.06
233 3 4670.87
234 1 5006
235 2 5350.02
236 1 6005.28
237 6 6745.2
238 6 6306.72
239 10 5965.63
240 7 5472.43
241 12 4446.33
242 7 3420.57
243 8 2983.06
244 1 3426.62
245 3 3695.31
246 7 3353.34
247 4 3739.91
248 7 3109.96
249 4 3367.58
250 6 3136.35
251 4 3407.6
252 3 3696.5
253 4 3899.93
254 3 4106.48
255 7 4010.83
256 4 4014.92
257 3 4508.62
258 11 3999.67
259 3 3533.01
260 9 3373.07
261 7 2894.85
262 2 3304.03
263 3 3553.22
264 5 3844.94
265 6 3486.35
266 4 3541.77
267 7 3697.71
268 2 3704.88
269 2 4162.44
270 4 4596.02
271 4 4762.06
272 6 4625.61
273 3 4902.06
274 11 4498.78
275 8 3863.54
276 2 3626.2
277 3 4046.74
278 1 4426.67
279 3 4952.03
280 8 4873.51
281 1 5361.34
282 6 5597.88
283 6 5175.97
284 9 4755.7
285 4 4677.48
286 7 4362.46
287 3 4595.16
288 8 4573.81
289 4 4591.37
290 6 3975.47
291 7 3950.83
292 4 3625.36
293 4 3814.33
294 9 3691.66
295 3 3579.4
296 12 3175.57
297 0 0
298 0 0
299 3 4393.46
300 5 4566.95
301 4 4861.14
302 0 0
303 1 5892.11
304 3 6924.19
305 4 7541.89
306 3 7442.09
307 1 8081.12
308 3 8659.6
309 1 9575.21
310 3 9897.31
311 17 8701.39
312 13 7228.7
313 14 5167.76
314 5 4440.91
315 7 3918.31
316 1 4417.97
317 1 5232.85
318 3 5783.12
319 8 5435.06
320 4 5603.19
321 5 5388.1
322 3 5622.33
323 9 5625.09
324 4 5399.55
325 8 4925
326 1 5202.58
327 3 5673.63
328 8 5351.34
329 7 5004.73
330 3 4887.89
331 8 5088.53
332 9 4244.93
333 9 3302.33
334 1 3912.82
335 5 4006.49
336 3 4293.98
337 3 4334.57
338 3 4941.32
339 8 4870.07
340 4 4666.11
341 8 4533.53
342 1 4480.74
343 6 4777.46
344 12 4152.99
345 1 4128.68
346 3 4356.13
347 5 4557.48
348 4 4596.62
349 4 4824.91
350 7 4452.54
351 10 4227.01
352 1 3846.78
353 3 4554.02
354 4 4919.72
355 4 4966.38
356 4 5267.16
357 8 5108.08
358 5 4881.79
359 4 4910.44
360 5 5051.8
361 4 4829.56
362 4 5028.43
363 10 4668.52
364 1 5132.38
365 3 5391.15
366 10 5039.22
367 7 4361.88
368 2 4263.21
369 3 4738.95
370 7 5194.55
371 3 4927.54
372 4 5449.89
373 5 5160.62
374 1 5541.8
375 8 5960.34
376 3 5439.3
377 3 5965.51
378 6 6296.02
379 9 5764.69
380 4 5347.12
381 3 5535.48
382 7 5533.44
383 5 5759.31
384 4 5692.46
385 4 5864.68
386 7 5585.12
387 3 5603.1
388 7 5639.01
389 6 5781.43
