#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 3.78787 1 3.29501 1 1 0.194553 23 0 81.5595
1 3.66745 1.3125 5.81853 2 2 0.0603746 53 0 77.0708
2 2.97146 1.88785 8.66048 3 3 0.0377332 76 0 78.2853
3 2.40413 2.54737 10.0932 4 5 0.0182503 138 0 79.7794
4 1.36702 2.93458 19.1371 5 8 0.0283285 237 0 82.187
5 0.516037 3.91489 19.633 6 12 0.0502798 305 0 84.4348
6 0.733646 2.40625 10.9921 3 18 0.016088 638 0 86.7772
7 1.04628 2.04717 5.72639 2 27 0.00664706 1292 0 91.6434
8 1.02685 2 2.34977 2 41 0.00351778 3056 0 101.043
9 0.98079 2 1.67219 2 57 0.0368245 2939 0 111.552
10 3.96179 1.02083 0.894834 1 58 0.0848115 2325 33 111.041
11 4.10009 1 0.107721 1 57 0.93481 106 37 104.05
12 4.04148 1.00935 0.198778 2 43 0.818159 191 56 97.9034
13 3.53478 1.25263 0.356128 3 32 0.652244 248 72 92.6214
14 1.18321 2.02062 1.42121 5 24 0.0858735 809 32 91.2312
15 0.919861 2.80374 1.90021 6 36 0.0179892 1304 0 99.8307
16 0.142222 4.54762 0.808263 6 53 0.185253 2282 243 107.427
