#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 3.86432 1 1.40838 1 1 0.530538 6 0 114.512
1 3.56393 1.22727 1.81447 2 2 0.168481 12 0 76.9652
2 2.91827 1.42857 5.63207 3 3 0.0988302 19 0 78.0059
3 2.09262 2.35484 5.20214 4 5 0.0624191 36 0 79.5133
4 1.24777 2.19231 12.7114 5 8 0.0914131 63 0 81.9839
5 0.166551 5.52381 15.5445 6 12 0.0534464 95 0 84.1983
6 0.460405 3.52174 9.83899 3 18 0.0361712 183 0 86.7961
7 0.79076 2.31818 5.6988 2 27 0.0487222 323 0 91.4918
8 0.798282 2 1.87979 2 41 0.0164898 992 0 100.642
9 0.845902 2 1.18906 2 57 0.125459 841 0 110.709
10 3.15977 1.27273 0.569019 1 58 0.385522 262 78 108.305
11 3.25573 1 0.17497 1 49 0.969157 21 14 99.7159
12 3.00793 1.09091 0.337202 2 37 0.841586 19 1 94.3074
13 1.67276 1.19048 0.480417 3 28 0.578373 124 26 90.8858
14 0.743104 2.53125 2.01972 5 21 0.225173 228 22 89.3771
15 0.549402 3.09091 1.31741 4 32 0.0211547 499 22 95.4909
16 1.42638 2.13043 0.652428 2 48 0.397208 212 176 103.106
17 0.719407 2.65 0.520446 3 45 0.481981 172 184 101.227
18 0.43898 3 0.876629 3 24 0.319346 239 186 90.177
19 0.909472 2.14286 0.865046 2 23 0.14 177 114 89.22
20 0.945043 2 0.772989 2 22 0.235747 150 74 88.2183
21 0.832543 2 1.17133 2 19 0.119967 205 47 86.9255
22 0.942443 2 0.801115 2 25 0.251814 171 109 90.0627
23 0.960162 2 0.847615 2 22 0.162937 153 61 88.626
24 0.978235 2 1.11099 2 21 0.140982 191 66 88.3062
25 0.940176 2 0.798325 2 26 0.214766 164 98 90.55
26 0.806219 2 0.944325 2 23 0.266602 180 88 88.764
27 0.993378 2 0.775185 2 24 0.409658 146 87 88.8369
28 0.950868 2 0.963975 2 21 0.0883683 178 75 88.3476
29 1.01231 2 0.689493 2 23 0.29931 147 74 88.6693
30 0.880525 2 1.03223 2 19 0.114784 229 50 86.9492
31 1.00855 2 0.705536 2 22 0.294601 145 85 87.8306
32 0.961179 2 1.18692 2 19 0.162268 194 52 86.7219
33 0.914855 2 0.822597 2 26 0.226001 195 93 90.5585
34 0.670088 2 0.71353 2 24 0.281783 144 83 89.313
35 0.768295 2 1.01729 2 18 0.279251 184 67 85.8717
36 0.815588 2 0.944602 2 21 0.186979 194 71 87.5608
37 0.971677 2 0.630517 2 22 0.341268 109 55 87.8388
38 0.447505 -nan 1.29335 2 17 0.118608 184 17 84.6244
