#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 3.54238 1 3.22567 1 1 0.203071 22 0 87.0313
1 3.4852 1.38095 5.78779 2 2 0.0199596 54 0 77.0573
2 2.80854 1.84694 8.80377 3 3 0.0413771 75 0 78.2319
3 2.31926 2.5625 9.8182 4 5 0.0923954 128 0 79.7511
4 1.3028 2.86792 18.6678 5 8 0.0430155 237 0 82.2173
5 0.180635 5.92708 22.819 6 12 0.0403624 306 0 84.3613
6 0.722043 2.45833 12.7788 3 18 0.0103892 629 0 86.8624
7 1.02552 2 6.57718 2 27 0.0118807 1268 0 91.5543
8 1.01838 2 2.64634 2 41 0.00655398 3076 0 101.028
9 0.980107 2 1.62023 2 57 0.0323947 3633 0 111.684
10 3.7395 1.02105 0.96906 1 58 0.0217733 2595 41 111.756
11 3.86081 1 0.101712 1 57 0.901079 80 26 104.181
12 3.77259 1.01042 0.216899 2 43 0.814313 201 64 97.8446
13 3.36066 1.23958 0.360109 3 32 0.66991 267 84 92.7918
14 1.17046 2.03774 1.33227 5 24 0.0541659 801 71 91.4402
15 0.877344 2.85417 1.77516 6 36 0.00917009 1392 0 99.7732
16 0.142309 4.39535 0.79093 6 53 0.202722 2210 240 107.31
