#second results avg_latency(ms)
0 0 0
1 0 0
2 1 2367.14
3 1 3691.04
4 1 4979.48
5 0 0
6 1 6313.7
7 1 7726.54
8 0 0
9 1 9323.68
10 0 0
11 1 11210.9
12 1 11564
13 1 12789.8
14 1 12938.3
15 1 14286.6
16 1 14480.5
17 1 15624.7
18 1 16071.9
19 1 17423.8
20 1 17786.5
21 1 19171.4
22 2 19412.9
23 3 20267.1
24 1 20988.7
25 3 21162.3
26 3 21608.6
27 4 22002.9
28 1 22235.9
29 2 23175.3
30 1 23739.6
31 1 24284
32 4 24997.5
33 1 25365.3
34 2 26520.7
35 2 27269.2
36 1 27337
37 5 28113.4
38 1 28933.1
39 3 29368.8
40 2 29547
41 7 29532.2
42 8 29117.3
43 2 29341.7
44 6 29255.1
45 1 29744.5
46 8 29544.8
47 3 29551
48 2 30103.5
49 2 30625.4
50 5 31113.3
51 1 31055.8
52 4 32027.3
53 8 31810.4
54 2 32177.8
55 8 31560.6
56 2 31830.4
57 6 32190.1
58 3 31886.6
59 2 32583
60 9 32609.1
61 2 32301
62 1 33266.1
63 25 31597.5
64 26 27306.8
65 5 25383.7
66 17 23762.1
67 9 22396.8
68 16 20863
69 8 19560.3
70 3 19416.3
71 5 19870.4
72 1 19778.7
73 3 20580.5
74 8 20239.2
75 34 17352.8
76 14 13219.6
77 28 10514.1
78 2 8284.71
79 2 8985.54
80 35 6064.43
81 7 3169.12
82 3 2948.12
83 1 3192.79
84 1 4516.53
85 5 5095
86 14 3628.28
87 4 3060.5
88 7 2878.42
89 8 2385.6
90 0 0
91 8 3033.48
92 1 2850.74
93 1 4060.32
94 2 4696.86
95 3 4997.61
96 15 3889.83
97 3 3609.56
98 9 3185.4
99 7 2714.67
100 1 3189.61
101 6 3344.7
102 10 2658.35
103 2 2376.92
104 7 2522.56
105 0 0
106 4 3574.43
107 3 3679.73
108 2 4283.48
109 3 4492.59
110 7 4789.34
111 1 5169.65
112 7 4860.63
113 4 4919.67
114 4 5118.13
115 3 5779.58
116 2 5987.37
117 3 6197.23
118 4 7278.87
119 4 6639.95
120 5 7129.2
121 3 7255.92
122 1 8286.91
123 1 8722.68
124 13 8169.22
125 4 7440.85
126 2 8236.11
127 1 8411.6
128 9 8765.85
129 0 0
130 1 9688.9
131 2 10618.2
132 9 10075.1
133 1 10682.8
134 0 0
135 12 10838.5
136 7 10007.5
137 2 10177.7
138 12 9687.38
139 1 9400.13
140 3 10264.6
141 2 10712.7
142 2 11018.2
143 1 11925.3
144 9 11639.9
145 1 11870.4
146 3 12642.4
147 17 11181.9
148 3 10545.7
149 7 10700.7
150 1 10355.7
151 7 10825
152 11 9842.38
153 3 9565.91
154 1 10361.5
155 23 8673.43
156 8 6554.78
157 8 6344.97
158 3 5953.53
159 5 6408.28
160 3 6715.36
161 6 6402.62
162 3 6801.49
163 3 7250.02
164 5 7030.32
165 10 6650.21
166 20 4884.17
167 8 2991.99
168 1 2583.3
169 2 3862.89
170 2 4654.55
171 8 4417.29
172 4 4209.62
173 7 3996.67
174 2 4507.83
175 9 3717.13
176 10 3324.55
177 5 3058.77
178 5 2460.48
179 0 0
180 5 3779.64
181 3 3686.76
182 3 4120.38
183 1 4923.56
184 1 5393.23
185 16 4726.09
186 3 4005.72
187 2 4835.59
188 16 3779.79
189 1 3188.25
190 2 3626.71
191 2 4182.88
192 5 4723.83
193 1 5063.83
194 3 5573.51
195 7 5895.44
196 0 0
197 0 0
198 0 0
199 2 8936.04
200 4 9316.62
201 5 9350.36
202 0 0
203 0 0
204 0 0
205 1 13061
206 2 13477.9
207 3 13763.8
208 5 14132.9
209 0 0
210 0 0
211 0 0
212 2 17357.8
213 3 18030.2
214 4 18012.4
215 1 18770
216 6 18752.7
217 19 17732.5
218 4 16437.2
219 4 16399.1
220 4 16735.9
221 2 16543.8
222 9 17051.5
223 1 16592.5
224 2 17199.9
225 9 17304.8
226 1 17661.7
227 1 18621.1
228 19 17080
229 7 15742.7
230 2 15593.8
231 12 15533.7
232 11 14061.6
233 5 13524.8
234 14 12526.2
235 3 12084.1
236 15 10998.3
237 3 10276.9
238 2 10643.9
239 1 11080.2
240 18 10496.1
241 3 9832.34
242 24 7634.5
243 11 4936.18
244 4 4960.96
245 6 4602.17
246 0 0
247 1 6124.12
248 10 5621.58
249 1 6038.79
250 9 5679.3
251 0 0
252 5 6763.34
253 6 6098.11
254 1 7199.31
255 3 7491.64
256 22 5726.93
257 9 3572.31
258 6 3222.99
259 3 3410.86
260 7 2886.74
261 2 3586.21
262 7 3475.01
263 2 3718.5
264 8 3709.01
265 6 3292.68
266 2 3565.89
267 5 3579.18
268 3 3733.23
269 3 4317.54
270 3 4889.73
271 7 4490.36
272 2 4852.29
273 6 5078.37
274 6 4565.23
275 3 4931.9
276 6 4759.53
277 2 5114.58
278 6 5319.03
279 0 0
280 2 6344.02
281 6 6702.17
282 1 7024.44
283 4 7642.24
284 7 7478.05
285 2 7630.12
286 3 7975.56
287 8 7754.14
288 2 8088.8
289 1 8726.82
290 9 8357.45
291 2 8892.48
292 0 0
293 13 9151.13
294 9 7842.49
295 2 7883.26
296 7 7682.44
297 10 7332.28
298 16 5820.5
299 4 4554.12
300 3 4800.02
301 4 5058.21
302 3 5417.49
303 8 5689.68
304 1 5418.8
305 6 5824.98
306 4 5610.29
307 14 4793.37
308 9 3638.28
309 6 3290.76
310 4 3464.6
311 5 3235.26
312 1 3668.62
313 9 3763.48
314 1 3958.33
315 2 4385.51
316 3 4904.27
317 7 5151.2
318 1 5233.31
319 3 5522.79
320 8 5553.12
321 2 5495.75
322 4 6135.45
323 3 6073.49
324 3 6856.9
325 2 7400.42
326 10 6704.52
327 0 0
328 2 7775.62
329 0 0
330 11 8558.24
331 3 7654.97
332 1 8589.59
333 1 9291.9
334 2 10212.7
335 25 8619.76
336 8 6405.39
337 3 6071.93
338 7 6404.29
339 13 5195.33
340 8 3954.42
341 4 4088.08
342 3 4020.89
343 3 4613.16
344 12 3860.35
345 4 3399.91
346 1 3976
347 4 4516.92
348 7 4168.26
349 4 4018.3
350 8 3842.96
351 2 3868.13
352 3 4506.64
353 5 4579.97
354 2 5049.01
355 2 5520.58
356 7 5378.22
357 3 5622.83
358 3 5868.96
359 7 5868.3
360 1 6503.49
361 9 6225.83
362 1 6110.32
363 1 6901.03
364 4 7534.08
365 9 6978.15
366 9 6440.17
367 10 5842.3
368 3 5309.41
369 5 5441.92
370 3 5904.34
371 6 5827.1
372 5 5660.65
373 3 6052.93
374 7 5705.4
375 2 6230.92
376 7 6102.83
377 1 6174.65
378 4 6721.99
379 9 6305.83
380 8 5968.32
381 2 5910.64
382 8 5910.33
383 3 5787.83
384 1 6605.45
385 10 6175.26
386 7 5324.6
387 1 5662.47
388 4 6004.54
389 8 5782.62
390 9 5460.02
391 9 4585
