#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 1 3971.33
4 1 4805.02
5 0 0
6 2 6389.96
7 1 7523.47
8 1 8272.76
9 0 0
10 1 9484.81
11 1 10307.8
12 2 11647.4
13 1 12404.8
14 0 0
15 2 13938.5
16 0 0
17 1 14964.7
18 2 16492
19 2 16597.6
20 1 17677.9
21 0 0
22 4 18856.6
23 3 19158.3
24 1 19695.6
25 4 19914.5
26 2 20682
27 7 21090.6
28 4 20583.9
29 2 21051.7
30 10 21085.3
31 2 20824
32 4 20734.5
33 3 21232.6
34 18 19951.7
35 1 19576
36 10 19010.5
37 31 16170
38 3 13699
39 28 11578.5
40 9 9244.73
41 3 8667.68
42 23 7307.86
43 7 5324.34
44 3 5223.94
45 7 5020.2
46 9 4605.95
47 2 4772.79
48 3 4934.38
49 4 5394.69
50 6 5234.95
51 0 0
52 10 5440.72
53 9 4956.47
54 3 4614.91
55 7 4439.23
56 8 4248.63
57 4 3816.66
58 9 3627.26
59 5 3349.47
60 4 2865.45
61 2 3735.19
62 3 4099.49
63 6 4155.97
64 0 0
65 0 0
66 0 0
67 0 0
68 3 8644.21
69 2 8879.89
70 3 9531.66
71 3 9684.54
72 0 0
73 0 0
74 0 0
75 1 13309.8
76 2 14170.2
77 2 14623.4
78 28 12996
79 1 10644.9
80 1 11202.8
81 13 11363.3
82 7 10433.4
83 2 9973.85
84 12 10023.9
85 3 9507.92
86 7 9424.16
87 12 8793.94
88 5 7720.84
89 8 7393.86
90 17 5771.45
91 8 4561.27
92 2 4343.49
93 8 4633.41
94 2 4449.21
95 6 4698.95
96 6 4421.1
97 2 4550.72
98 15 4152.58
99 4 3172.6
100 4 3170.7
101 9 2882.2
102 4 2393.28
103 0 0
104 5 3862.08
105 5 3634.74
106 0 0
107 0 0
108 1 6379.7
109 2 7007.97
110 15 6332.81
111 4 5267.25
112 3 5558.21
113 5 5716.05
114 8 5125.25
115 2 5449.85
116 7 5762.96
117 8 5106.76
118 10 4426.6
119 2 4295.67
120 8 4182.56
121 2 4270.21
122 9 4219.61
123 2 3913.21
124 3 4260.76
125 7 4439.48
126 3 4395.99
127 7 4442.8
128 2 4668.93
129 3 5041.03
130 8 4610.49
131 9 4440.71
132 3 4201.4
133 2 4779.22
134 3 5049.96
135 5 5002.75
136 11 4576.6
137 7 3865.05
138 2 4100.34
139 2 4650.43
140 8 4455.16
141 8 3613.13
142 3 3940.46
143 2 4313.89
144 6 4621.07
145 1 4965.57
146 4 5372.3
147 7 5020.56
148 12 4054.36
149 3 3804.51
150 2 4363.83
151 4 4832.13
152 1 5706.69
153 1 6333.34
154 1 6512.01
155 1 7778.28
156 2 8262.64
157 8 8634.22
158 2 8342.43
159 2 8873.65
160 7 9096.72
161 12 8496.87
162 1 7851.28
163 10 7721.49
164 19 6139.99
165 2 4496.27
166 2 5410.1
167 12 4818.27
168 4 4214.15
169 1 4637.75
170 9 4566.1
171 11 4075.34
172 8 3204.54
173 1 2530.08
174 2 3625.58
175 9 3388.19
176 2 3666.85
177 8 3742.18
178 0 0
179 0 0
180 5 5250.74
181 2 5755.18
182 3 5849.71
183 0 0
184 0 0
185 1 8703.87
186 4 9015.13
187 3 9276.03
188 5 9488.96
189 2 9602.41
190 4 10282.2
191 3 10425.4
192 3 10980.7
193 2 11940.7
194 9 11036.2
195 4 11376.8
196 6 10908.2
197 1 11213.2
198 1 11870.9
199 2 12936
200 1 13216.1
201 2 14046.3
202 18 12887
203 0 0
204 1 13510.6
205 0 0
206 1 14724
207 33 13257
208 1 10739.6
209 11 10251.4
210 29 7238.52
211 8 4881.58
212 1 4634.02
213 4 5158.55
214 7 4786.11
215 9 4234.91
216 1 4444.35
217 5 4681.86
218 6 4481.8
219 2 4930.6
220 9 4814.86
221 3 4742.19
222 6 4426.22
223 3 4813.38
224 6 4807.25
225 2 5119.78
226 1 5671.68
227 1 6230.25
228 12 6437.66
229 7 5499.54
230 2 5610.42
231 7 5759.14
232 6 5329.46
233 11 4513.96
234 7 4034.18
235 1 4241.73
236 2 4940.32
237 3 5142.07
238 9 4679.4
239 8 4440.08
240 3 4118.69
241 6 4488.51
242 1 4404.19
243 2 5430.07
244 1 6134.49
245 9 6166.88
246 0 0
247 13 6106.22
248 4 5296.77
249 6 4941.59
250 4 5223.78
251 7 4806.18
252 5 4833.51
253 5 4722.55
254 5 4795.13
255 6 4593.55
256 6 4501.7
257 3 4386.86
258 2 5163.25
259 5 5430.43
260 7 5137.32
261 8 5079.59
262 2 4786.01
263 2 5425.16
264 7 5407.27
265 1 5433.05
266 3 6333.58
267 8 6241.38
268 12 5362.1
269 1 4776.97
270 2 5573.23
271 7 5503.54
272 4 5526.24
273 6 5444.22
274 1 5900.59
275 3 6310.37
276 7 6158.31
277 1 6956.86
278 10 6712.06
279 1 6636.59
280 4 7041.33
281 8 6832.7
282 10 6133.51
283 10 5124.48
284 2 4904.72
285 9 4992.5
286 8 3797.54
287 1 3796.84
288 4 4727.81
289 7 4405.82
290 1 4556.39
291 3 4993.79
292 8 5044.86
293 1 5473.28
294 9 5327.91
295 3 4866.07
296 10 4785.5
297 7 4027.66
298 3 4049.65
299 3 4555.73
300 12 3962.47
301 3 3227.54
302 0 0
303 4 4866.14
304 6 4928.93
305 0 0
306 0 0
307 0 0
308 1 7818.93
309 4 8645.55
310 6 8553.73
311 2 8591.2
312 1 9366.87
313 4 9870.71
314 10 9251.32
315 5 9192.24
316 5 8843.95
317 14 8531.67
318 3 7535.21
319 8 7416.34
320 5 7077.23
321 6 7055.53
322 6 6598.88
323 13 5779.81
324 7 4942.88
325 9 4307.63
326 2 4000.35
327 8 4388.57
328 1 4219.88
329 3 4534.22
330 7 4482.29
331 3 4669.62
332 6 4783.08
333 3 4953.71
334 9 4955.78
335 2 4877.79
336 5 5133.55
337 5 4978.24
338 10 4426.73
339 4 4233.23
340 7 3994.88
341 2 4067.24
342 8 4312.76
343 2 4279.59
344 2 4707.65
345 8 4660.97
346 3 4514.75
347 7 4658.24
348 3 4731.84
349 4 5041.78
350 6 4838.92
351 3 5115.2
352 7 5073.71
353 3 5260.97
354 9 4583.4
355 2 4747.38
356 7 4530.55
357 3 4941.38
358 4 5094.47
359 4 5252.99
360 3 5631.48
361 8 5666.64
362 3 5765.8
363 2 5873.62
364 8 5892.75
365 4 6040.07
366 7 5524.16
367 8 5112.51
368 2 5246.38
369 8 4959.69
370 5 4854.29
371 6 4630.89
372 4 4718.45
373 3 5003.77
374 7 4847.35
375 3 5090.48
376 6 4775.72
377 4 4992.15
378 5 5141.97
379 3 5482.77
380 9 5295.7
381 2 4992.72
382 8 5070
383 3 5076.82
384 7 4843.94
385 3 4809.66
386 8 5089.14
387 2 4974.18
388 7 5208.33
389 2 4979.28
390 3 5577.13
391 9 5228.68
392 5 5176.09
