#second results avg_latency(ms)
0 0 0
1 0 0
2 0 0
3 1 3813.58
4 1 4505.49
5 1 5491.19
6 0 0
7 1 6687.71
8 0 0
9 1 8342.14
10 0 0
11 1 10221
12 0 0
13 1 12411.5
14 0 0
15 1 14612.2
16 0 0
17 0 0
18 1 16706.1
19 0 0
20 1 19197.3
21 0 0
22 0 0
23 1 21920.3
24 1 22714.1
25 0 0
26 0 0
27 1 24892.3
28 1 26159.1
29 0 0
30 0 0
31 1 28334.6
32 1 29565.5
33 0 0
34 1 31714.3
35 0 0
36 1 32697.3
37 0 0
38 1 34974.5
39 1 35624.5
40 0 0
41 1 37876.6
42 1 38307.7
43 0 0
44 2 40053
45 1 41024.3
46 0 0
47 1 42543.1
48 1 43031.5
49 1 44102.1
50 2 45100
51 0 0
52 1 46414.7
53 2 47302.5
54 0 0
55 1 48914.2
56 2 50155.5
57 1 50771.3
58 1 51438.3
59 2 51696.3
60 3 52428.3
61 1 52888.1
62 1 53457.1
63 3 54329.5
64 2 54608.7
65 3 55395.7
66 2 55776.9
67 3 56591.1
68 2 56800
69 2 57363.9
70 3 57777.8
71 4 58466.9
72 1 58702.6
73 5 58917.9
74 4 59113
75 4 59642.9
76 1 59883
77 5 60444.3
78 2 60715.6
79 3 61170.4
80 1 62089.2
81 2 62626.4
82 1 63234.8
83 10 62700.8
84 4 62597.1
85 5 62567.8
86 5 62737.6
87 5 62730.4
88 2 63221.7
89 7 63320.3
90 5 62979
91 2 62993.8
92 12 62864.2
93 2 62608.2
94 4 63086.7
95 3 63171
96 1 63937.2
97 2 64570.1
98 4 65146.1
99 1 65378
100 3 65937.9
101 4 66089.5
102 3 66646.2
103 8 66694.9
104 2 66377.8
105 0 0
106 7 67826.3
107 4 67355.2
108 1 67993.5
109 1 68890.1
110 7 69085.5
111 1 69338.9
112 3 69751.6
113 5 69702.3
114 1 70836.8
115 0 0
116 2 71972
117 1 73177.2
118 1 73642.2
119 6 73596.1
120 1 73994.2
121 1 75146.6
122 2 75697.3
123 7 75737.9
124 1 76318.3
125 1 76696.1
126 9 76378.1
127 1 76918.3
128 10 76553.3
129 5 76235.6
130 5 76108.1
131 10 75944.4
132 6 75046.6
133 6 74959.6
134 2 75123.4
135 8 75238.7
136 1 75243.8
137 1 76160
138 9 76152.2
139 1 75802
140 14 75507.5
141 1 74771.5
142 2 75612.9
143 15 74992
144 1 74720.5
145 3 75257.2
146 18 73535.8
147 10 72246.9
148 2 72061.1
149 14 71124.7
150 7 69962
151 4 69919
152 7 70093.1
153 4 70031.4
154 15 69053.8
155 1 68134.9
156 8 68635.9
157 3 68065.1
158 11 67891.6
159 5 67341.2
160 24 65527.4
161 22 62223.3
162 4 60373.5
163 7 60087
164 31 57322.3
165 2 55088.5
166 31 53223
167 3 50368.3
168 14 49646
169 4 48633.6
170 21 47758.1
171 1 46019.1
172 21 44919.3
173 0 0
174 3 44501.2
175 28 42493.5
176 18 39099.5
177 2 37517.7
178 11 37673.8
179 23 34903.4
180 1 33984.6
181 2 34721.6
182 6 34403.1
183 1 35024.2
184 45 31805.3
185 3 27441.6
186 16 26366.1
187 1 25756
188 56 21655.4
189 6 15859.6
190 14 14737.3
191 21 12690.1
192 28 8671.29
193 3 6847.45
194 16 5872.02
195 3 4787.25
196 4 4897.27
197 3 5476.61
198 1 5675.39
199 11 5676.8
200 9 4998.81
201 1 4842.44
202 3 5211.81
203 9 4886.01
204 9 4338.58
205 1 4446.73
206 3 4801.33
207 8 4739.62
208 3 4700.34
209 7 4913.57
210 1 4885.21
211 10 5001.46
212 3 4632.01
213 7 4825.71
214 1 4737.75
215 9 4703.57
216 3 4649.85
217 8 4432.45
218 4 4522.28
219 3 4503.96
220 5 4588.76
221 3 4923.74
222 8 4789.65
223 3 4494.63
224 7 4321.57
225 2 4969.81
226 2 5556.76
227 4 6215.89
228 14 4951.35
229 1 4421.54
230 2 5229.07
231 10 4963.28
232 2 4881.29
233 11 4511.33
234 3 4385.11
235 5 4116.27
236 3 4648.19
237 3 5216.57
238 6 4947.1
239 9 4517.47
240 3 4529.19
241 7 4478.05
242 2 4579.8
243 2 5301.48
244 1 5982.7
245 8 6074.21
246 3 5850.92
247 2 6366.01
248 13 5569.73
249 6 4886.29
250 3 5112.41
251 6 4886.86
252 7 4986.5
253 3 4516.05
254 4 5194.02
255 6 5023.74
256 4 5155.41
257 7 4855.2
258 2 5253.58
259 2 6067.6
260 8 6031.58
261 2 5861.18
262 3 6253.25
263 9 5787.04
264 1 5901.21
265 8 5991.84
266 2 6141.04
267 4 6690.52
268 6 6090.77
269 11 5699.9
270 2 5568.82
271 1 5913.72
272 7 6293.42
273 5 6229.05
274 4 6105
275 2 6487.37
276 1 7839.64
277 8 7536.58
278 1 7169.9
279 1 8149.76
280 10 8669.51
281 0 0
282 0 0
283 5 9896.32
284 7 9208.98
285 2 9995.44
286 9 9889.57
287 11 8510.18
288 2 8294.72
289 17 7274.97
290 3 6338.79
291 13 5758.66
292 5 4909.92
293 8 4602.26
294 4 4416.14
295 15 3695.69
296 0 0
297 4 3772.56
298 3 3932.32
299 5 3883.61
300 10 3772.51
301 3 3317.09
302 6 3257.94
303 2 3775.51
304 4 3973.1
305 7 4052.72
306 3 4022.61
307 6 3945.8
308 4 4278.74
309 6 3826.18
310 2 4010.42
311 11 3723.11
312 6 3479.85
313 4 2981.96
314 8 2814.1
315 2 3261.62
316 8 3058.45
317 1 3529.96
318 7 3387.84
319 3 3028.63
320 4 3757.93
321 7 3305.11
322 0 0
323 0 0
324 4 5473.19
325 2 5949.99
326 5 5758.67
327 0 0
328 0 0
329 1 8421.8
330 5 8838.49
331 4 8778.9
332 0 0
333 0 0
334 0 0
335 1 12722.6
336 2 13437.4
337 6 13596.6
338 2 13514.4
339 0 0
340 0 0
341 1 16496.2
342 2 17324.3
343 2 17649.8
344 5 18052
345 0 0
346 0 0
347 0 0
348 1 21383.6
349 3 22215.2
350 1 22688.6
351 4 23112.6
352 2 23508.5
353 0 0
354 0 0
355 1 25810
356 1 26646.7
357 7 27300.2
358 1 27071.8
359 1 27734.8
360 0 0
361 1 30216.8
362 1 30876.6
363 2 31550.3
364 3 31991.8
365 5 32100
366 3 32452.5
367 3 32802.4
368 4 32882.2
369 1 33450.9
370 3 34270.4
371 7 34207.6
372 0 0
373 1 35263.3
374 2 36051.4
375 45 32598.2
376 1 29262.6
377 1 29516.8
378 9 29517.1
379 1 29901.9
380 2 30349.4
381 7 30282.6
382 1 30080.3
383 1 31584.7
384 3 32154.6
385 7 31909.2
386 6 31730.2
387 2 31985.3
388 2 32285.1
389 8 32635.1
390 2 32367.2
391 3 33110.7
392 5 33278.5
393 4 32954.8
394 7 33119.8
395 5 33035.7
396 5 33024.1
397 4 32657.4
398 10 32864.8
399 1 32283.4
400 3 33146.6
