#control_step plq_rho plq_splitting wlq_rho nw_plq nw_wlq wlq_idle wlq_win_tasks wlq_merge_tasks [watts]
0 1.7302 1 1.54749 1 1 0.381004 7 0 214.823
1 1.53159 1.63636 3.21391 2 2 0.295952 11 0 96.5951
2 0.598847 1.7 12.1795 3 3 0.166847 15 0 97.9209
3 0.974613 1.55556 10.8987 2 4 0.0756351 23 0 98.1926
4 0.76536 1.86364 11.8421 2 6 0.0323507 38 0 99.4218
5 0.70369 1 5.72202 2 9 0.271009 64 0 101.337
6 0.941975 1 2.99987 2 14 0.171653 124 0 105.315
7 0.923604 1 2.27745 2 21 0.13336 143 0 111.162
8 1.27513 1.26316 1.50855 2 32 0.0689956 213 0 120.1
9 1.53587 1.36364 0.598202 2 48 0.432298 117 40 130.501
10 0.869052 1.90909 0.648857 3 42 0.46006 73 70 127.014
11 0.877906 1.90909 0.682164 3 29 0.45536 59 44 117.047
12 0.938893 1.54545 0.787049 3 21 0.446715 64 22 112.171
13 0.692017 1 0.98778 3 19 0.201622 70 8 109.726
14 0.697296 1.11111 0.613196 2 22 0.408092 57 16 109.969
15 0.583826 1 0.545188 2 15 0.461055 42 5 105.172
16 0.817133 1 1.19408 2 8 0.233141 66 0 100.829
17 0.656299 1 1.14329 2 11 0.279653 54 0 103.28
18 1.26216 1 0.696554 2 14 0.282652 61 4 105.049
19 0.839522 1.5 0.762283 3 13 0.278343 59 15 105.439
20 0.922752 1.14286 1.43455 3 11 0.113144 76 6 104.803
21 0.988334 2.09091 1.24399 3 17 0.313543 95 7 107.981
22 0.81821 2.1 1.07899 3 24 0.270297 78 44 113.665
23 0.814304 1.8 0.91493 3 29 0.175246 70 47 118.172
24 0.676033 1.1 0.99502 3 30 0.249575 80 23 118.597
25 0.668692 1 0.479738 2 34 0.601879 55 10 116.964
26 1.40213 1.18182 0.533738 2 17 0.668072 44 11 107.15
27 0.867165 1.22222 1.04205 3 13 0.240729 48 4 106.329
28 1.07041 1.14286 0.907726 3 15 0.152655 80 6 106.681
29 0.650036 1 0.87638 4 17 0.356009 61 17 109.088
30 0.687647 1.11111 0.813828 3 16 0.108009 60 9 107.946
31 0.636441 1.18182 0.571704 2 14 0.426717 54 11 105.009
32 1.47481 1 0.738129 2 8 0.218658 45 0 100.782
33 0.832493 1.52381 2.55289 3 8 0.330691 49 1 101.457
34 0.756633 1 2.25041 3 12 0.269489 57 0 104.566
35 0.750373 1 1.23469 3 18 0.176486 108 0 109.456
36 0.927447 1.36842 0.934056 3 25 0.24088 110 40 113.681
37 0.794418 1.3 0.553124 3 26 0.492169 58 21 114.007
38 0.748791 1 0.910349 3 15 0.240743 48 5 109.124
39 0.705045 1 1.06191 3 15 0.276623 67 6 106.414
40 0.555233 1 0.57785 2 18 0.403583 53 12 107.668
41 0.628652 1 0.751731 2 11 0.440114 52 7 102.874
42 1.99296 1.6 0.430481 2 9 0.442018 25 1 101.548
43 1.22353 1.18182 2.90873 3 7 0.228514 46 0 101.032
44 1.22633 1.1 2.19424 4 11 0.242535 60 0 104.557
45 1.04836 1.63636 1.83206 5 17 0.218736 87 0 109.776
46 1.14049 1 1.35067 5 26 0.135379 131 3 116.779
47 0.876727 1.4 0.758235 6 39 0.335809 89 41 126.869
48 0.922726 1.9 0.74571 6 32 0.323911 49 47 121.885
49 1.10813 1.81818 0.745526 6 26 0.506363 63 33 116.953
50 1.02654 1.75 1.18179 8 24 0.249957 73 12 117.686
51 0.89846 1.90909 0.837763 9 32 0.259979 68 60 124.297
52 1.11174 1.72727 0.746959 9 30 0.364102 64 39 122.543
53 1.1889 1.81818 1.42391 11 27 0.151969 80 41 121.889
54 1.23411 2 0.875057 13 41 0.495847 76 61 133.577
55 1.0287 2.09091 1.0124 16 43 0.285863 81 55 137.708
56 1.34843 1.90909 0.910595 16 43 0.318392 73 49 138.629
57 1.29918 1.6 0.840953 16 41 0.291125 50 35 136.128
58 1.3412 1.9 0.839045 18 39 0.321494 63 35 135.883
59 1.15013 1.86364 1.32167 20 37 0.327243 86 51 136.332
60 0.96154 1.81818 0.923539 17 42 0.372455 77 70 137.449
61 1.14732 2 0.78852 17 42 0.284276 59 57 137.011
62 1.09197 1.8 0.753824 17 38 0.398706 56 36 134.673
63 1.13458 1.81818 0.819747 21 35 0.330712 64 38 134.858
64 1.05357 1.7 1.29997 24 33 0.284998 78 46 136.714
65 0.816622 1.09091 0.828877 20 39 0.351115 75 32 136.75
66 1.05038 1 0.606707 18 35 0.376134 41 15 131.38
67 1.12569 1.8 0.509767 21 27 0.628169 48 36 126.836
68 0.811752 1.81818 1.19255 27 18 0.385483 69 3 125.39
69 0.809437 1.71429 1.17551 24 25 0.127881 131 40 127.468
70 0.814213 1 0.577705 21 34 0.432686 64 25 131.204
71 1.1106 1 0.559613 19 20 0.627198 40 12 120.296
72 0.975907 1.83333 1.12592 24 15 0.357254 69 11 120.119
73 0.901325 1 0.816047 28 19 0.198961 71 11 126.149
74 0.581353 1.3 1.10592 28 17 0.176669 88 18 124.239
75 1.00728 1.45455 0.813415 18 21 0.376094 70 21 120.069
76 0.947961 1.81818 0.8815 20 20 0.429381 72 13 121.57
77 0.906737 1.81818 1.11312 21 20 0.208096 77 20 122.964
78 0.871399 1.91667 0.970847 21 25 0.297684 84 38 126.38
79 0.879236 1.9 0.838034 20 27 0.232483 71 43 127.261
80 0.866762 1.80952 1.3053 19 25 0.209528 100 30 125.498
81 1.06302 1.8 0.568529 18 37 0.498859 70 74 131.526
